値,場名,場略名(1文字),場略名(2文字),場略名(3文字),場欧字名,場欧字略名(3文字)
F0,韓国,韓,韓国,韓国,Korea,KOR
F1,中国,中,中国,中国,China,CHN
F2,チリ,智,チリ,チリ,Chile,CHI
F8,パナマ,巴,パナ,パナマ,Panama,PAN
G0,香港,香,香港,香港,Hong Kong,HK
G2,スペイン,西,スペ,スペイ,Spain,SPA
H0,西ドイツ,独,西独,西独,West Germany,GER
H2,南アフリカ,南 (阿),南ア,南アフ,South Africa,SAF
H4,スイス,ス,スイ,スイス,Switzerland,SWI
H6,モナコ,モ,モナ,モナコ,Monaco,MCO
H8,フィリピン,比,フィ,フィリ,Philippines,PHI
I0,プエルトリコ,プ,プエ,プエル,Puerto Rico,PUE
I2,コロンビア,コ,コロ,コロン,Colombia,COL
I4,チェコスロバキア,チ,チェ,チェコ,Czechoslovakia,CZE
I6,チェコ,チ,チェ,チェコ,Czech Republic,CZE
I8,スロバキア,ス,スロ,スロバ,Slovakia,SLO
J0,エクアドル,エ,エク,エクア,Ecuador,ECU
J2,ギリシャ,ギ,ギリ,ギリシ,Greece,GR
J4,マレーシア,馬,マレ,マレー,Malaysia,MAL
J6,メキシコ,墨,メキ,メキシ,Mexico,MEX
J8,モロッコ,摩,モロ,モロッ,Morocco,MOR
K0,パキスタン,基,パキ,パキス,Pakistan,PAK
K2,ポーランド,波,ポー,ポーラ,Poland,POL
K4,パラグアイ,拉,パラ,パラグ,Paraguay,PRY
K6,サウジアラビア,サ,サウ,サウジ,Saudi Arabia,SDA
K8,キプロス,キ,キプ,キプロ,Cyprus,CYP
L0,タイ,泰,タイ,タイ,Thailand,THA
L2,ウクライナ,烏,ウク,ウクラ,Ukraine,UKR
L4,ベネズエラ,ベ,ベネ,ベネゼ,Venezuela,VEN
L6,ユーゴスラビア,ユ,ユー,ユーゴ,Yugoslavia,YUG
L8,デンマーク,丁,デン,デンマ,Denmark,DEN
M0,シンガポール,嘉,シン,シンガ,Singapore,SIN
M2,マカオ,澳,澳門,マカオ,Macau,MAC
M4,オーストリア,墺,墺,墺国,Austria,AUT
M6,ヨルダン,約,約,ヨルダ,Jordan,JOR
M8,カタール,華,華,カタル,Qatar,QAT
